show_id,cast_id,role,cast_name
s1039,0,acts,Robert Downey Jr.
s1039,1,acts,Chris Hemsworth
s1039,2,acts,Mark Ruffalo
s1039,3,acts,Chris Evans
s1039,4,acts,Scarlett Johansson
s1039,5,acts,Jeremy Renner
s1040,0,acts,Robert Downey Jr.
s1040,3,acts,Chris Evans
s1040,2,acts,Mark Ruffalo
s1040,1,acts,Chris Hemsworth
s1040,4,acts,Scarlett Johansson
s1040,5,acts,Jeremy Renner
s1041,3,acts,Chris Evans
s1041,0,acts,Robert Downey Jr.
s1041,4,acts,Scarlett Johansson
s1041,6,acts,Sebastian Stan
s1042,3,acts,Chris Evans
s1042,7,acts,Tommy Jones
s1042,8,acts,Hugo Weaving
s1042,6,acts,Sebastian Stan
s1043,3,acts,Chris Evans
s1043,4,acts,Scarlett Johansson
s1043,6,acts,Sebastian Stan
s1044,9,acts,Brie Larson
s1044,10,acts,Samuel Jackson
s1044,11,acts,Ben Mendelsohn
s1045,12,acts,Benedict Cumberbatch
s1045,13,acts,Chiwetel Ejiofor
s1045,14,acts,Rachel McAdams
s1046,15,acts,Chris Pratt
s1046,16,acts,Dave Bautista
s1046,17,acts,Vin Diesel
s1047,15,acts,Chris Pratt
s1047,18,acts,Bradley Cooper
s1047,17,acts,Vin Diesel
s1048,0,acts,Robert Downey Jr.
s1048,19,acts,Terrence Howard
s1048,20,acts,Jeff Bridges
s1049,0,acts,Robert Downey Jr.
s1049,21,acts,Gwyneth Paltrow
s1049,22,acts,Don Cheadle
s1049,4,acts,Scarlett Johansson
s1050,0,acts,Robert Downey Jr.
s1050,21,acts,Gwyneth Paltrow
s1050,22,acts,Don Cheadle
s1051,0,acts,Robert Downey Jr.
s1051,1,acts,Chris Hemsworth
s1051,2,acts,Mark Ruffalo
s1051,3,acts,Chris Evans
s1051,4,acts,Scarlett Johansson
s1051,5,acts,Jeremy Renner
s1052,1,acts,Chris Hemsworth
s1052,23,acts,Natalie Portman
s1052,24,acts,Tom Hiddleston
s1052,25,acts, Anthony Hopkins
s1053,1,acts,Chris Hemsworth
s1053,23,acts,Natalie Portman
s1053,24,acts,Tom Hiddleston
s1053,25,acts, Anthony Hopkins
s1035,46,acts,Dee Baker
s1035,47,acts,Chloe Bennet
s1035,48,acts,Kathreen Khavari
s1036,49,acts,Jeff McNeil
s1036,50,acts,Meghan Leon
s1036,51,acts,Jason Hillhouse
s1038,52,acts,Paul Rudd
s1038,53,acts,Evangeline Lilly
s1038,54,acts,Corey Stoll
s492,0,acts,Robert Downey Jr.
s492,1,acts,Chris Hemsworth
s492,2,acts,Mark Ruffalo
s492,3,acts,Chris Evans
s492,4,acts,Scarlett Johansson
s492,22,acts,Don Cheadle
s610,55,acts,Chadwick Boseman
s610,56,acts,Michael Jordan
s610,57,acts,Lupita Nyong'o
s686,1,acts,Chris Hemsworth
s686,24,acts,Tom Hiddleston
s686,58,acts,Cate Blanchett
s1054001,26,acts,Drake Bell
s1054002,26,acts,Drake Bell
s1054003,26,acts,Drake Bell
s1054004,26,acts,Drake Bell
s1054005,26,acts,Drake Bell
s1054006,26,acts,Drake Bell
s1054007,26,acts,Drake Bell
s1054008,26,acts,Drake Bell
s1054009,26,acts,Drake Bell
s1054010,26,acts,Drake Bell
s1054011,26,acts,Drake Bell
s1054012,26,acts,Drake Bell
s1054013,26,acts,Drake Bell
s1054014,26,acts,Drake Bell
s1054015,26,acts,Drake Bell
s1054016,26,acts,Drake Bell
s1054017,26,acts,Drake Bell
s1054018,26,acts,Drake Bell
s1054019,26,acts,Drake Bell
s1054020,26,acts,Drake Bell
s1054001,27,acts,Chi McBride
s1054002,27,acts,Chi McBride
s1054003,27,acts,Chi McBride
s1054004,27,acts,Chi McBride
s1054005,27,acts,Chi McBride
s1054006,27,acts,Chi McBride
s1054007,27,acts,Chi McBride
s1054008,27,acts,Chi McBride
s1054009,27,acts,Chi McBride
s1054010,27,acts,Chi McBride
s1054011,27,acts,Chi McBride
s1054012,27,acts,Chi McBride
s1054013,27,acts,Chi McBride
s1054014,27,acts,Chi McBride
s1054015,27,acts,Chi McBride
s1054016,27,acts,Chi McBride
s1054017,27,acts,Chi McBride
s1054018,27,acts,Chi McBride
s1054019,27,acts,Chi McBride
s1054020,27,acts,Chi McBride
s1054001,28,acts,Steven Weber
s1054002,28,acts,Steven Weber
s1054003,28,acts,Steven Weber
s1054004,28,acts,Steven Weber
s1054005,28,acts,Steven Weber
s1054006,28,acts,Steven Weber
s1054007,28,acts,Steven Weber
s1054008,28,acts,Steven Weber
s1054009,28,acts,Steven Weber
s1054010,28,acts,Steven Weber
s1054011,28,acts,Steven Weber
s1054012,28,acts,Steven Weber
s1054013,28,acts,Steven Weber
s1054014,28,acts,Steven Weber
s1054015,28,acts,Steven Weber
s1054016,28,acts,Steven Weber
s1054017,28,acts,Steven Weber
s1054018,28,acts,Steven Weber
s1054019,28,acts,Steven Weber
s1054020,28,acts,Steven Weber
s1055001,29,acts,Hayley Atwell
s1055002,29,acts,Hayley Atwell
s1055003,29,acts,Hayley Atwell
s1055004,29,acts,Hayley Atwell
s1055005,29,acts,Hayley Atwell
s1055006,29,acts,Hayley Atwell
s1055007,29,acts,Hayley Atwell
s1055008,29,acts,Hayley Atwell
s1055009,29,acts,Hayley Atwell
s1055010,29,acts,Hayley Atwell
s1055001,30,acts,James D'Arcy
s1055002,30,acts,James D'Arcy
s1055003,30,acts,James D'Arcy
s1055004,30,acts,James D'Arcy
s1055005,30,acts,James D'Arcy
s1055006,30,acts,James D'Arcy
s1055007,30,acts,James D'Arcy
s1055008,30,acts,James D'Arcy
s1055009,30,acts,James D'Arcy
s1055010,30,acts,James D'Arcy
s1055001,31,acts,Chad Murray
s1055002,31,acts,Chad Murray
s1055003,31,acts,Chad Murray
s1055004,31,acts,Chad Murray
s1055005,31,acts,Chad Murray
s1055006,31,acts,Chad Murray
s1055007,31,acts,Chad Murray
s1055008,31,acts,Chad Murray
s1055009,31,acts,Chad Murray
s1055010,31,acts,Chad Murray